stand_id,geo,proj_id,DoTreat,selected,ETrt_YR,area,p_california_spotted_owl,p_storage,p_functional_fire,p_forest_structure,p_max_sdi,cost,weightedPriority,Pr_1_weighted_priorities,scenario_write_tags
6974,"POLYGON ((-2127263.8119731266 2247603.832999289, -2127263.8119731266 2247303.832999289, -2126963.8119731266 2247303.832999289, -2126963.8119731266 2247603.832999289, -2127263.8119731266 2247603.832999289))",3,1,1,1,0.09,0.07999998331,0.6632597744,1.487154216,1.093087196,1.087682493,450000000,0.07649021355,1,20230322-11-42
6975,"POLYGON ((-2127263.8119731266 2247303.832999289, -2127263.8119731266 2247003.832999289, -2126963.8119731266 2247003.832999289, -2126963.8119731266 2247303.832999289, -2127263.8119731266 2247303.832999289))",3,1,1,1,0.09,0,0.6842631102,1.528609276,1.106915474,1.089238495,450000000,0.07645756758,1,20230322-11-42
6976,"POLYGON ((-2127263.8119731266 2247003.832999289, -2127263.8119731266 2246703.832999289, -2126963.8119731266 2246703.832999289, -2126963.8119731266 2247003.832999289, -2127263.8119731266 2247003.832999289))",3,1,1,1,0.09,0,0.6668319106,1.506171763,1.099138059,1.116065182,450000000,0.0768465912,1,20230322-11-42
6977,"POLYGON ((-2127263.8119731266 2246703.832999289, -2127263.8119731266 2246403.832999289, -2126963.8119731266 2246403.832999289, -2126963.8119731266 2246703.832999289, -2127263.8119731266 2246703.832999289))",3,1,1,1,0.09,0,0,1.499852747,1.128954053,1.297984153,450000000,0.07581703642,1,20230322-11-42
6978,"POLYGON ((-2127263.8119731266 2246403.832999289, -2127263.8119731266 2246103.832999289, -2126963.8119731266 2246103.832999289, -2126963.8119731266 2246403.832999289, -2127263.8119731266 2246403.832999289))",3,1,1,1,0.09,0.1200000048,0.2710872293,1.440772384,1.182769567,1.321916431,450000000,0.08126219322,1,20230322-11-42
6979,"POLYGON ((-2127263.8119731266 2246103.832999289, -2127263.8119731266 2245803.832999289, -2126963.8119731266 2245803.832999289, -2126963.8119731266 2246103.832999289, -2127263.8119731266 2246103.832999289))",3,1,1,1,0.09,0.3000000119,0.2850555778,1.391461492,1.235963061,1.465596706,450000000,0.08871737527,1,20230322-11-42
6980,"POLYGON ((-2127263.8119731266 2245803.832999289, -2127263.8119731266 2245503.832999289, -2126963.8119731266 2245503.832999289, -2126963.8119731266 2245803.832999289, -2127263.8119731266 2245803.832999289))",3,1,1,1,0.09,0.1800000072,0.3545578122,1.364870399,1.198153764,1.35476321,450000000,0.08346471332,1,20230322-11-42
6981,"POLYGON ((-2127263.8119731266 2245503.832999289, -2127263.8119731266 2245203.832999289, -2126963.8119731266 2245203.832999289, -2126963.8119731266 2245503.832999289, -2127263.8119731266 2245503.832999289))",3,1,1,1,0.09,0.01999998093,0.7552683651,1.34112075,1.162251666,1.280327708,450000000,0.0828607168,1,20230322-11-42
7020,"POLYGON ((-2126963.8119731266 2252403.832999289, -2126963.8119731266 2252103.832999289, -2126663.8119731266 2252103.832999289, -2126663.8119731266 2252403.832999289, -2126963.8119731266 2252403.832999289))",3,1,1,1,0.09,0.01999998093,0.354589045,1.588363349,1.141858757,1.460945457,450000000,0.08689887337,1,20230322-11-42
7021,"POLYGON ((-2126963.8119731266 2252103.832999289, -2126963.8119731266 2251803.832999289, -2126663.8119731266 2251803.832999289, -2126663.8119731266 2252103.832999289, -2126963.8119731266 2252103.832999289))",3,1,1,1,0.09,0.06000000238,0.3643645644,1.560724676,1.165178716,1.379438758,450000000,0.08466840599,1,20230322-11-42
